description,job
"The Data Scientist works on applied data science projects which enable great, personalised customer experiences which drive the KPIs of growing our customer base and increasing engagement. The responsibilities include developing production-ready models and algorithms for a given area (recommendations, marketing promotions, onboarding, etc.) which maximise customer engagement, working with product & engineering to smoothly deploy these personalised experiences, and measuring the business metric impact of these models through experiments and analysis. This role will require applied experience in machine learning techniques, an excellent grasp of statistical knowledge, programming fluency, a strong knack for problem-solving, and the ability to work cross-functionally with product, engineering, and business teams.",Data Scientist
"Organize, analyse and interpret data to uncover patterns and trends and establish how these findings can help increase business value through making better informed decisions; Lead the implementation of advanced analytics/data science projects aimed at improving business performance across distribution, underwriting, claims and customer service; Maintain and enhance the existing advanced analytics/data science models across the company to ensure models remain effective, updated and relevant to business objective; Work closely with the Data Engineering Team to ensure adequate data infrastructure is in place to support the availability and efficient blending of traditional, unstructured and also third party data for various analytics projects; Collaborate with third party solutions providers to identify next generation advanced analytics/data science solutions through a series of proof of concepts (POC); Work closely with various business owners to operationalize successful POCs into daily operations; Build up an analytics knowledge repository with the aim of industrializing the use of effective advanced analytics models across the company.
Ensure all analytics project undertaking comply with both internal and external policies, guidelines and regulations. Maintain awareness of industry trends on regulatory compliance, emerging threats and technologies in order to understand the risk and better safeguard the company. Highlight any potential concerns /risks and proactively shares best risk management practice.",Data Scientist
"Responsible for developing algorithms tp improve AI applications and systems.  Understanding clients' requirements in order to develop customize AI solutions
Analyzing large complex datasets through statistical analysis and machines learning techniques. Identify data trends, patterns and insights for development purposes 
Resposible for developing predictive models, conducting statistical analysis and performing data mining.  Present findings and insights to stakeholders.",Data Scientist
"Finance & Data Operations Data Science Team is tasked with delivering tangible value to business units  through data-driven decision making. This position is part of Finance & Data Operations Data Science team leading a team of data scientists delivering advanced analytics projects for different businesses within Shell. The individual will join a growing global data science team spanning both on/offshore. Incumbent is responsible for supporting the development of analytical models for projects collaborating with different business stakeholders & other partners and working across a range of technologies and tools. The ideal candidate has good background in quantitative skills (like statistics, mathematics, advanced computing) and has applied those skills in solving real world problems.",Data Scientist
"The Client Data Scientist lead role is a key role to deliver success, improve customer experience and drive effective client engagement for our clients loyalty programme. This role effectively works in collaboration with other members of the Global Data Science team and is responsible for, but not limited to the following; Providing high quality in-depth analysis and recommendations, reporting and data visualization, presenting findings and analytical insights to other members of the team and/or clients, building predictive models and/or customer segmentations, being a steward of data and analytics across the team and organization, mentoring and providing support to the more junior members of the team (Insights Analyst).",Data Scientist
"As a Data Scientist, you will play a crucial role in analyzing complex data sets to extract valuable insights and drive data-driven decision-making. You will collaborate with cross-functional teams to develop innovative solutions that address business challenges and contribute to the growth of our organization.
Your Day-to-Day:
Utilize advanced analytical techniques to process and analyze large, complex data sets to identify trends, patterns, and insights.
Develop predictive and prescriptive models using machine learning algorithms to solve business problems and improve decision-making processes.
Collaborate with stakeholders to understand business objectives and translate them into data science projects and analyses.
Design and implement experiments to gather data and validate hypotheses, contributing to the development of actionable recommendations.
Work with engineering teams to deploy models into production environments, ensuring scalability and reliability.
Create data visualizations and dashboards to effectively communicate findings to non-technical stakeholders.
Stay up-to-date with the latest developments in data science, machine learning, and AI technologies, and contribute innovative ideas to enhance data-driven initiatives.
Collaborate with data engineers and data analysts to ensure data quality, integrity, and accessibility.",Data Scientist
"You will be working closely with various teams within a business line (Product, Business, Engineering, Design, and Data Science) to understand data requirements, identify and track key metrics, and provide data-driven insights. You will also work with stakeholders to evaluate the feasibility of new business/product ideas and provide appropriate recommendations.
The Day-to-Day Activities:
Understand business objectives and deep-dive into existing data to recommend new product ideas to solve the most impactful customer problems
Use data to identify trends, spot anomalies and delve deeper into their root causes
Use your number-crunching and slide-maker skills to use and present data beyond just numbers. Hone your data storytelling skills through visualization techniques by building dashboards and presenting insights to a non-technical audience!
Discuss and align with stakeholders on key product metrics, design and propose experimentation strategies
Launch A/B tests, analyze experiment results, and provide recommendations
Design and own frontend and backend data specs for new products, while collaborating with engineering teams to ensure accurate and timely data collection
Develop and maintain data pipelines to fulfill product reporting requirements
Mentor junior team members, supporting their professional development in both hard and soft skills
Identify frequently occurring hypotheses and problem statements that can be generalized into common patterns. Develop scalable analytical frameworks and solutions to allow for solving repetitive problems in a more efficient manner
Role-model high standards of rigor in how we do measurements, experimentation, analyses, and recommendations. Safeguard the integrity of how data is used and understood to ensure we maintain objectivity in our reasoning, actions, and decision making
Evaluate the feasibility of developing new products, and participate in user research to validate customer problems",Data Scientist
"Grow the Organization’s data analytics and AI capability
Develop and maintain a data pipeline of large-scale data indexing
Engage in both exploratory analysis and predictive models to identify data trends and anomalies
Explore new hypotheses, build deep learning algorithms and be responsible to maintain model quality over time
Take ownership of the algorithmic structure and explain complex deep learning algorithms in layman terms to business stakeholders or tech talks
Ability to set and achieve project objectives & milestones
Document analytical findings for technical teams, executives, or publication",Data Scientist
"Join us as Data & Analytics Scientist and you will be responsible for supporting Omnichannel (OC) Analytics & Insights Lead by generating insightful patterns on customer behaviour that improve customer engagement. Data Scientist will develop scalable processes and tools/mechanisms to monitor and analyze the performance of OC campaigns, conduct customer segmentation, and analyze channel & content effectiveness. You will identify OC opportunities, and initiatives for which analytical models can drive the development of an appropriate solution. You will act in an individual contributor capacity. Major stakeholders: Sales, Marketing, Medical, Commercial Operations (ComOps), Tech/IT, OC POD

Primary Duties & Responsibilities:

OC Analytics & Insights 

Identifies and understands OC problems, opportunities, and initiatives for which analytical models can drive the development of an appropriate solution. Applies knowledge of statistics, data modeling, data sciences and artificial intelligence to recognize patterns in customer behaviour, and make valuable discoveries that improve customer engagement.
Establishes scalable, efficient, and automated processes for large scale data analyses/insights generation and model development, validation, and implementation. Conducts customer segmentation and performs continuous refinement on it.
Generates insights on behaviour/ preferences/ needs of target HCPs from HCP social listening data to recommend next best action and deliver enhanced customer experience (CX)

Performance Tracking & Reporting 

Supports in the development and execution of short and long-term measurement plans for proposed campaigns tactics, partnering with other key stakeholders as needed
Performs A/B testing, scenario analysis and other deep dive analyses to address business questions related to OC execution and impact
Develops processes and tools to monitor and analyze the performance of OC campaigns, channels, and content
Leverages knowledge of internal/external data sources to build a consolidated view on LOC’s (country) OC effectiveness basis CX metrics, HCP feedback, survey responses, and campaign performance

Cross-functional Collaboration 

Participates in cross-functional stakeholder meetings, ensuring project requirements are delivered within agreed timelines and approved budget. Collaborates with internal COEs to identify new approaches such as data science techniques and new data sources to power OC analytics and activation opportunities

Project Management and Support

Creates appropriate project concept documents, including data selection criteria, aggregation requirements, measurement definitions and appropriate analyses based on business requirements. Supports integration of OC dynamics with broader analytics activities to help paint full picture of commercial execution and customer engagement/experience. Maintains, updates, and communicates documentation and knowledge of statistical methods and techniques.",Data Scientist
"As a Senior Data Scientist, you will:-

Lead the development of predictive and prescriptive models using statistical and machine learning techniques.
Analyze large and complex datasets to identify trends, patterns that provide actionable insights to business leaders.
Utilize data visualization tools to communicate findings effectively.
Design, develop, and implement supervised as well as unsupervised machine learning algorithms and models.
Optimize models for performance, scalability, and interpretability.
Work closely with cross-functional teams, including data engineers, product managers, and stakeholders, to define project objectives and requirements.
Collaborate with data engineers to ensure data pipelines are efficient and reliable.
Follow and promote Agile practices to ensure effective collaboration and project delivery
Deploy models into production environments and monitor their performance.
Maintain and update models as needed to ensure ongoing accuracy while addressing schema drift and concept drift
Maintain detailed documentation of data science projects, including methodologies, code, and results.
Share knowledge and best practices with the team.
Provide guidance and mentorship to junior data scientists.
Contribute to the development of the data science team's technical skills and expertise.",Data Scientist
"Driving innovation, piloting new technologies for AI/ML model development, adopting cloud technologies, and leveraging BI tools like Denodo, OAS, and Power BI in shaping future of data analytic within the organization, supporting data-driven decision-making and enhancing our competitive advantage in the financial industry.
Strengthen current group wide’s fact-based driven decision-making culture through preparation of data sets for timely generation of related report generations, analytics and insights.
Responsible for developing, expanding & optimizing data and data pipeline architecture and data flow, data source identification, data collection and federation for and from cross functional sources.
Building machine learning models involving machine learning algorithms to develop models that can be used to make predictions, anomaly detections, clustering, data type classifications and making these models available to stakeholders for their usage and decision making.
Enabling advance analytics through the adoption of industry best practices and cutting-edge technologies.
Lead, manage & groom a team of data scientist on value creation efforts",Data Scientist
"As a Data Scientist you will contribute to develop end-to-end analytic solutions, shaping data and algorithms to deliver accurate and robust Predictive and Prescriptive Analytics. You will work within a cross functional team composed of machine learning engineers, developers, and client solution experts.
You will be part of Global Data Science, a team of 80+ Scientists based in Nuremberg, London, Warsaw and Kuala Lumpur with diverse backgrounds. Always eager to learn and share experience, the team is a great environment for your self-development.
This is a Kuala Lumpur based position - there is no travel needed.
Develop end-to-end analytical products
Work with GfK's Point of Sale / Media / third-party data to develop Data Science solutions for implementation and standardization in production environments. 
Screen the market for potential new / innovative Data Science approaches
Represent GfK’s Data Science expertise at conferences and workshops
Support the presentation of GfK’s Data Science capabilities in client-facing situations
Create product driven Data Science solutions for our new prescriptive / AI flagship product by closely collaborating with product manager / owner
Contribute to Data Science projects by developing and implementing Data Science & machine learning models that are reproducible, well documented, and follow prescribed coding guidelines
Participate in Communities of Practice
Present GfK’s Data Science expertise at conferences and workshops
Create and improve methods and tools and contribute to best practices in Data Science
Foster Data Science related knowledge exchange within GfK
Be a methodological referent for more junior colleagues and working students",Data Scientist
"Marketing Model Development: Build advanced marketing model extensions and machine learning models using current data sets. Extract actionable insights to drive marketing strategies.
Propensity Modeling: Spearhead the creation of a propensity modeling service based on regressive data exercises. Translate complex data into predictive models for informed decision-making.
Team Leadership: Assemble and lead a team of skilled coders. Implement agile methodologies like scrums and sprints for efficient data visualization tech builds.
Data Ecosystem Development: Create comprehensive data ecosystems, including data piping, cleanup, dashboarding, and data query systems. Preference for those with marketing model query experience, but a strong data modeling background is also valuable.
Autonomous Decision-Making: Independently present models, hypotheses, and learning models. Provide insights and suggestions to identify solutions for areas of improvement, gaps, or opportunities.",Data Scientist
"e’re looking for a Lead Data and Insights Analyst to join our newly established Strategy and Analytics function at QS. Someone who can help our Product teams translate user needs into rich data insights for higher education institutions. This role will be responsible for deepening the analytics that QS serves to higher education institutions, combining QS proprietary data with third-party data sets across institutional performance and student recruitment to enable universities globally to set their strategies for a more financially predictable future where they deliver greater impact through research and teaching. Data Analysis is an important component of the role, but equally relevant is having the ability to turn data into insight


Role responsibilities:

Acting as the key analytics contact point between our Consulting and Analytics product teams, enabling Product leads to drive greater synergy between the product suite.
Hands on delivery of products and projects that enable QS to transform our analytics and advisory services suite using data-led initiatives.
Working closely with stakeholders to understand and define the metrics and analysis that will enable higher education senior leaders to better assess their performance.
Identify opportunities to productize bespoke analytical output, while developing strategies for utilizing analytical products in client engagements.
Delivering high quality business intelligence and data analytics products that leverage the breadth of the QS data asset and third-party datasets to tell a customer-centric performance story.
Collaborate with cross-functional teams, including data engineers and business analysts, to ensure seamless data integration and reporting processes.
Mentoring and coaching teams across the organization to develop their data analysis skills.
Establishing data analysis best practice for the organization.
Perform BI Development activities by testing outcomes to ensure new BI features are quality checked and released without issue.
Make recommendations about the methods and processes in which QS obtains and analyses data to improve quality and the efficiency of data systems.
Promote 'Self-serve' analytics by mentoring internal stakeholders in the interpretation and use of analytical reports and models.",Data Analyst
"Work closely with cross-functional teams to identify and understand business requirements for reports and dashboards within Power BI. 
Collect, clean, transform, and validate data from various sources to ensure accurate and reliable insights. 
Develop and maintain data models, reports, and dashboards using Power BI, ensuring user-friendly navigation and interaction. 
Conduct in-depth data analysis to identify trends, patterns, and anomalies, and communicate key findings to stakeholders. 
Collaborate with stakeholders to enhance existing reports and identify areas for improvement in data visualization and information delivery. 
Ensure continuous data quality by regularly monitoring and troubleshooting data integration and reporting issues. 
Develop and maintain documentation, including data dictionaries, process flows, and user manuals, to support report usage and maintenance. 
Stay updated with the latest trends and best practices in data analysis, visualization, and Power BI usage.",Data Analyst
"The Performance Marketing Team of Agoda is a world leader in online marketing. This department is highly data-driven and focused on developing at-scale marketing programs that improve the lifetime value of Agoda customers through measurable marketing programs and channels. The team is a blend of the best analysts, marketing strategists, and data scientists in the world. The marketing leadership at Agoda have deep experience in data science, product, strategy, and other marketing fields and have built an organization that thrives on data, creative ideas, and technology. The Performance Marketing Team also fosters a great learning environment. You will be able to learn and grow by working closely with experts from a variety of backgrounds from all over the world.


 In this Role, you’ll get  to: 


Search: Experiment with text ads, bidding, and campaign structures on Google, Bing, Baidu, Naver, and other search engines. Adapt to new product features and roll out changes from successful tests
Display: Test, analyze, and optimize campaigns on Facebook, Twitter, Instagram, and others
Modeling: Analyze the vast amounts of data generated by experiments, develop models we can use for optimization, and build dashboards for account managers",Data Analyst
"Support the planning of analytics needs with Marketing and Retail Operations functions, e.g. (SKU analysis, Buyer analysis, promotions, new product launches, CRM, customer service, retail operations etc.)
Lead and Execute analytics related to ABO and Customer Experience, e.g. promotions, buyers, new sign-ups, migration etc.)
Ability to connect data insights with ABO motivation via various research and secondary data studies and on-site participation of ABO activities and events.
Proficient in data interpretation, visualization and “story-telling” of insights to mid to high level management stakeholders
Lead Data Literacy training amongst business users, e.g. training on BI tools, interpreting Data definition and analysis to non-analytics peers
Create predictive analytics models by working closely with CoE for tactical and strategic decision making in annual / long – term planning
Extracts & analyzes business data to support strategic and tactical decision-making, to assist in long-range business planning, to evaluate the effectiveness of different organizational initiatives, and to support effective, targeted communications.
Provide analytical & reporting support to one or more functional areas (e.g., Sales, Marketing, Legal, Finance, etc.).
Generates ad-hoc and recurring reports & analyses to assist in tracking various aspects of business performance.",Data Analyst
"Establish processes to collect and analyse internal and relevant external data to derive value-added observations and insights
Manage and work extensively with large amounts of data and provide data-driven insights to support the business teams in executing strategic planning, driving improvements and making sound business decisions
Be the oracle that can spot dangers and pitfalls down the road by monitoring and analysing trends, and taking a critical view of existing business strategy
Setup, maintain and automate reports, dashboards and various business processes required by different stakeholders and the company
Establish processes to identify and keep track of appropriate indicators to monitor performance and progress
Work and collaborate with internal stakeholders to identify and define problem statements and pain points, gather requirements, prioritise and implement sustainable solutions that will meet business needs",Data Analyst
"Work collaboratively as part of a product squad to support externally facing data-drive products, or use data to positively inform and influence the business decisions at PropertyGuru


Collaborate with product owners and engineers to conceptualise and develop new data products features.


Understand the customer “why”, to help guide the “what” and “how” for potential solutions, distilling data requirements from client-driven use cases and translating those complex data requirements into simple solutions


Support execution of Product-driven or custom data challenges, from requirement gathering, to ideation to solution implementation


Extract key insights and “So-whats” from complex datasets


Communicate analyses and recommendations to business stakeholders for their decision making.


Build clear and simple dashboards and presentations using BI tools.",Data Analyst
"Collect, process, and cleanse data from diverse sources, ensuring data quality and consistency.
Conduct in-depth data analysis to extract valuable business insights and identify trends, patterns, and correlations.
Collaborate with different GBS functions to understand their data needs and challenges, specifically with Customer Service, Legal/Compliance Operations, and Risk Operations.
Analyze customer interactions and feedback to identify trends and suggest improvements, enhancing customer service strategy.
Develop and maintain dashboards, visualizations, and reports to track key business metrics, translating complex findings into actionable business insights for stakeholders.",Data Analyst
"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight, and insight into business decisions. Data analyst responsibilities include conducting a full lifecycle analysis to include requirements, activities, and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. This position will be reporting to the Director of Customer Operation, APAC.


Position Responsibilities

Interpret data, analyze results using statistical techniques, and provide ongoing reports.
Develop and implement databases, data collection systems, data analytics, and other strategies that optimize statistical efficiency and quality.
Develop and implement a dashboard for data visualization and reporting.
Acquire data from primary or secondary data sources and maintain databases/data systems.
Identify, analyze, and interpret trends or patterns in complex data sets.
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems.
Work with management to prioritize business and information needs.
Locate and define new process improvement opportunities",Data Analyst
