Month,Seasonally Adjusted Unemployment Rates
01/01/1999,4.30%
01/02/1999,4.40%
01/03/1999,4.20%
01/04/1999,4.30%
01/05/1999,4.20%
01/06/1999,4.30%
01/07/1999,4.30%
01/08/1999,4.20%
01/09/1999,4.20%
01/10/1999,4.10%
01/11/1999,4.10%
01/12/1999,4%
01/01/2000,4%
01/02/2000,4.10%
01/03/2000,4%
01/04/2000,3.80%
01/05/2000,4%
01/06/2000,4%
01/07/2000,4%
01/08/2000,4.10%
01/09/2000,3.90%
01/10/2000,3.90%
01/11/2000,3.90%
01/12/2000,3.90%
01/01/2001,4.20%
01/02/2001,4.20%
01/03/2001,4.30%
01/04/2001,4.40%
01/05/2001,4.30%
01/06/2001,4.50%
01/07/2001,4.60%
01/08/2001,4.90%
01/09/2001,5%
01/10/2001,5.30%
01/11/2001,5.50%
01/12/2001,5.70%
01/01/2002,5.70%
01/02/2002,5.70%
01/03/2002,5.70%
01/04/2002,5.90%
01/05/2002,5.80%
01/06/2002,5.80%
01/07/2002,5.80%
01/08/2002,5.70%
01/09/2002,5.70%
01/10/2002,5.70%
01/11/2002,5.90%
01/12/2002,6%
01/01/2003,5.80%
01/02/2003,5.90%
01/03/2003,5.90%
01/04/2003,6%
01/05/2003,6.10%
01/06/2003,6.30%
01/07/2003,6.20%
01/08/2003,6.10%
01/09/2003,6.10%
01/10/2003,6%
01/11/2003,5.80%
01/12/2003,5.70%
01/01/2004,5.70%
01/02/2004,5.60%
01/03/2004,5.80%
01/04/2004,5.60%
01/05/2004,5.60%
01/06/2004,5.60%
01/07/2004,5.50%
01/08/2004,5.40%
01/09/2004,5.40%
01/10/2004,5.50%
01/11/2004,5.40%
01/12/2004,5.40%
01/01/2005,5.30%
01/02/2005,5.40%
01/03/2005,5.20%
01/04/2005,5.20%
01/05/2005,5.10%
01/06/2005,5%
01/07/2005,5%
01/08/2005,4.90%
01/09/2005,5%
01/10/2005,5%
01/11/2005,5%
01/12/2005,4.90%
01/01/2006,4.70%
01/02/2006,4.80%
01/03/2006,4.70%
01/04/2006,4.70%
01/05/2006,4.60%
01/06/2006,4.60%
01/07/2006,4.70%
01/08/2006,4.70%
01/09/2006,4.50%
01/10/2006,4.40%
01/11/2006,4.50%
01/12/2006,4.40%
01/01/2007,4.60%
01/02/2007,4.50%
01/03/2007,4.40%
01/04/2007,4.50%
01/05/2007,4.40%
01/06/2007,4.60%
01/07/2007,4.70%
01/08/2007,4.60%
01/09/2007,4.70%
01/10/2007,4.70%
01/11/2007,4.70%
01/12/2007,5%
01/01/2008,5%
01/02/2008,4.90%
01/03/2008,5.10%
01/04/2008,5%
01/05/2008,5.40%
01/06/2008,5.60%
01/07/2008,5.80%
01/08/2008,6.10%
01/09/2008,6.10%
01/10/2008,6.50%
01/11/2008,6.80%
01/12/2008,7.30%
01/01/2009,7.80%
01/02/2009,8.30%
01/03/2009,8.70%
01/04/2009,9%
01/05/2009,9.40%
01/06/2009,9.50%
01/07/2009,9.50%
01/08/2009,9.60%
01/09/2009,9.80%
01/10/2009,10%
01/11/2009,9.90%
01/12/2009,9.90%
01/01/2010,9.80%
01/02/2010,9.80%
01/03/2010,9.90%
01/04/2010,9.90%
01/05/2010,9.60%
01/06/2010,9.40%
01/07/2010,9.40%
01/08/2010,9.50%
01/09/2010,9.50%
01/10/2010,9.40%
01/11/2010,9.80%
01/12/2010,9.30%
01/01/2011,9.10%
01/02/2011,9%
01/03/2011,9%
01/04/2011,9.10%
01/05/2011,9%
01/06/2011,9.10%
01/07/2011,9%
01/08/2011,9%
01/09/2011,9%
01/10/2011,8.80%
01/11/2011,8.60%
01/12/2011,8.50%
01/01/2012,8.30%
01/02/2012,8.30%
01/03/2012,8.20%
01/04/2012,8.20%
01/05/2012,8.20%
01/06/2012,8.20%
01/07/2012,8.20%
01/08/2012,8.10%
01/09/2012,7.80%
01/10/2012,7.80%
01/11/2012,7.70%
01/12/2012,7.90%
01/01/2013,8%
01/02/2013,7.70%
01/03/2013,7.50%
01/04/2013,7.60%
01/05/2013,7.50%
01/06/2013,7.50%
01/07/2013,7.30%
01/08/2013,7.20%
01/09/2013,7.20%
01/10/2013,7.20%
01/11/2013,6.90%
01/12/2013,6.70%
01/01/2014,6.60%
01/02/2014,6.70%
01/03/2014,6.70%
01/04/2014,6.20%
01/05/2014,6.30%
01/06/2014,6.10%
01/07/2014,6.20%
01/08/2014,6.10%
01/09/2014,5.90%
01/10/2014,5.70%
01/11/2014,5.80%
01/12/2014,5.60%
01/01/2015,5.70%
01/02/2015,5.50%
01/03/2015,5.40%
01/04/2015,5.40%
01/05/2015,5.60%
01/06/2015,5.30%
01/07/2015,5.20%
01/08/2015,5.10%
01/09/2015,5%
01/10/2015,5%
01/11/2015,5.10%
01/12/2015,5%
01/01/2016,4.80%
01/02/2016,4.90%
01/03/2016,5%
01/04/2016,5.10%
01/05/2016,4.80%
01/06/2016,4.90%
01/07/2016,4.80%
01/08/2016,4.90%
01/09/2016,5%
01/10/2016,4.90%
01/11/2016,4.70%
01/12/2016,4.70%
01/01/2017,4.70%
01/02/2017,4.60%
01/03/2017,4.40%
01/04/2017,4.40%
01/05/2017,4.40%
01/06/2017,4.30%
01/07/2017,4.30%
01/08/2017,4.40%
01/09/2017,4.30%
01/10/2017,4.20%
01/11/2017,4.20%
01/12/2017,4.10%
01/01/2018,4%
01/02/2018,4.10%
01/03/2018,4%
01/04/2018,4%
01/05/2018,3.80%
01/06/2018,4%
01/07/2018,3.80%
01/08/2018,3.80%
01/09/2018,3.70%
01/10/2018,3.80%
01/11/2018,3.80%
01/12/2018,3.90%
01/01/2019,4%
01/02/2019,3.80%
01/03/2019,3.80%
01/04/2019,3.60%
01/05/2019,3.70%
01/06/2019,3.60%
01/07/2019,3.70%
01/08/2019,3.70%
01/09/2019,3.50%
01/10/2019,3.60%
01/11/2019,3.60%
01/12/2019,3.60%
01/01/2020,3.50%
01/02/2020,3.50%
01/03/2020,4.40%
01/04/2020,14.70%
01/05/2020,13.20%
01/06/2020,11%
01/07/2020,10.20%
01/08/2020,8.40%
01/09/2020,7.90%
01/10/2020,6.90%
01/11/2020,6.70%
01/12/2020,6.70%
01/01/2021,6.30%
01/02/2021,6.20%
01/03/2021,6.10%
01/04/2021,6.10%
01/05/2021,5.80%
01/06/2021,5.90%
01/07/2021,5.40%
01/08/2021,5.20%
01/09/2021,4.80%
01/10/2021,4.50%
01/11/2021,4.20%
01/12/2021,3.90%
01/01/2022,4%
01/02/2022,3.80%
01/03/2022,3.60%
01/04/2022,3.60%
01/05/2022,3.60%
01/06/2022,3.60%
01/07/2022,3.50%
01/08/2022,3.70%
01/09/2022,3.50%
01/10/2022,3.70%
01/11/2022,3.60%
01/12/2022,3.50%
01/01/2023,3.40%
01/02/2023,3.60%
01/03/2023,3.50%
01/04/2023,3.40%
01/05/2023,3.70%
01/06/2023,3.60%
01/07/2023,3.50%
